Zika Vírus - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pernambuco
Todos os casos por Município de residência e Ano 1º Sintoma(s)
Período:2016-2025
"260345 CAMARAGIBE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;4;12;24;30;15;24;23;17;156
"260350 CAMOCIM DE SAO FELIX";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;1;4;1;4;1;66
"260360 CAMUTANGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
"260370 CANHOTINHO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;1;15;-;-;1;21
"260380 CAPOEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"260390 CARNAIBA";2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;3;-;-;-;1;2;116;-;-;-;126
"260392 CARNAUBEIRA DA PENHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;13;-;-;-;-;-;-;14
"260400 CARPINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;7;4;8;-;108;8;2;2;-;142
"260410 CARUARU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110;5;20;42;41;32;1512;65;838;30;2695
"260415 CASINHAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;3
"260420 CATENDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;6;-;-;-;-;8
"260430 CEDRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;105;-;-;1;110
"260440 CHA DE ALEGRIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;3
"260450 CHA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;3
"260460 CONDADO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;2;1;-;-;-;6
"260470 CORRENTES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2;-;4
"260480 CORTES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2
"260490 CUMARU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
"260500 CUPIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10;2;-;1;4;22;10;4;9;1;64
"260510 CUSTODIA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;55;189;56;213;54;4;1;582
"260515 DORMENTES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;1;10;13;25;65;19;7;4;149
"260520 ESCADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2;6;2;1;-;1;2;19
"260530 EXU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;1;-;-;4;-;-;-;1;14
"260540 FEIRA NOVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;1;2;50;7;-;1;1;66
"260545 FERNANDO DE NORONHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;20;-;-;-;-;-;1;22
"260550 FERREIROS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6;29;3;39
"260570 FLORESTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;4;6;3;2;15;7;6;-;45
"260590 GAMELEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;7
"260600 GARANHUNS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;1;18;16;54;8;25;38;254;16;435
"260610 GLORIA DO GOITA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;2;1;3;1;-;1;-;12
"260620 GOIANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;4;7;20;2;3;4;-;43
"260630 GRANITO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;3;4;3;-;12
"260640 GRAVATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;16;4;3;131;44;9;7;5;248
"260650 IATI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"260660 IBIMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;4;37;21;6;40;3;1;-;117
"260670 IBIRAJUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;1;-;-;-;63
"260680 IGARASSU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;-;5;-;1;5;1;17
"260690 IGUARACY";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;7;-;2;-;11
"260700 INAJA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7;71;10;2;-;92
"260710 INGAZEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;3;-;-;3;1;-;-;11
"260720 IPOJUCA";1;-;1;-;-;-;1;1;-;-;-;1;-;-;-;1;-;-;2;1;234;2499;780;1820;72;71;191;126;5802
"260730 IPUBI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"260740 ITACURUBA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;29
"260750 ITAIBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;4
"260760 ILHA DE ITAMARACA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;1;49;85
"260765 ITAMBE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;2;1;2;-;-;-;-;-;-;22
"260770 ITAPETIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;5;-;1;2;-;-;-;10
"260775 ITAPISSUMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;1;2;-;8
"260780 ITAQUITINGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3;-;7;-;-;13
"260790 JABOATAO DOS GUARARAPES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;115;98;40;75;11;23;4;18;32;9;426
"260795 JAQUEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"260800 JATAUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;1;1;4;-;-;1;-;12
"260805 JATOBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;23;1;36;-;61
"260810 JOAO ALFREDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;3;6;-;-;-;-;16
"260820 JOAQUIM NABUCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;1;-;-;-;-;-;-;6
"260825 JUCATI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2
"260830 JUPI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"260840 JUREMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"260845 LAGOA DO CARRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"260850 LAGOA DE ITAENGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
"260860 LAGOA DO OURO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;11;2;17;-;34
"260875 LAGOA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;1;7;-;-;2;2;1;27
"260880 LAJEDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;7;3;2;5;-;-;1;21
"260890 LIMOEIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1;-;3;1;57;8;5;33;7;121
"260900 MACAPARANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;2;1;-;2;10;22;33;6;85
"260910 MACHADOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;4
"260915 MANARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;10;1;1;-;16
"260920 MARAIAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;2;3;1;-;-;-;9
"260930 MIRANDIBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;4;4;1;26;-;-;-;38
"260940 MORENO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;3;17;71;18;145;-;258
"260950 NAZARE DA MATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;1;1;2;-;1;1;1;-;11
"260960 OLINDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;15;6;8;52;90;23;31;34;15;294
"260970 OROBO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10;14;-;-;-;25
"260980 OROCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5;1;7
"260990 OURICURI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;95;39;-;-;135
"261000 PALMARES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;20;-;-;2;2;3;2;2;7;2;41
"261020 PANELAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;1;26
"261030 PARANATAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;12;-;-;-;-;-;-;13
"261040 PARNAMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;4
"261050 PASSIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;2;5;1;12
"261060 PAUDALHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;1;22;2;220;29;3;13;15;310
"261070 PAULISTA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7;4;32;27;21;83;20;56;20;17;289
"261080 PEDRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;35;5;8;-;52
"261090 PESQUEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;3;1;4;3;2;16;4;2;3;45
"261100 PETROLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"261110 PETROLINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;28;5;22;254;361;84;304;31;59;18;1169
"261120 POCAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"261130 POMBOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;2;1;-;8
"261140 PRIMAVERA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;-;-;-;-;1;-;6
"261150 QUIPAPA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
"261153 QUIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;3
"261160 RECIFE";-;-;-;-;1;-;-;-;1;-;1;-;-;1;-;-;-;12;558;140;116;215;251;643;212;192;494;386;3223
"261170 RIACHO DAS ALMAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;11;2;1;1;18
"261180 RIBEIRAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2
"261190 RIO FORMOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;51;21;7;68;176;328
"261200 SAIRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;3
"261210 SALGADINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;3
"261220 SALGUEIRO";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;64;18;2;58;-;6;7;182
"261230 SALOA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;3
"261240 SANHARO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;35;-;-;-;-;1;10;3;12;-;67
"261245 SANTA CRUZ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;10;1;-;-;17
"261247 SANTA CRUZ DA BAIXA VERDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"261250 SANTA CRUZ DO CAPIBARIBE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;14;13;29;9;27;7;105
"261255 SANTA FILOMENA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"261260 SANTA MARIA DA BOA VISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"261270 SANTA MARIA DO CAMBUCA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"261280 SANTA TEREZINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;4
"261290 SAO BENEDITO DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"261300 SAO BENTO DO UNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;3;-;1;1;8
"261310 SAO CAITANO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8;-;-;-;1;-;10;6;55;50;131
"261320 SAO JOAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;11;-;-;-;2;77;2;97
"261330 SAO JOAQUIM DO MONTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;2;8;-;1;2;-;1;1;20
"261340 SAO JOSE DA COROA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;-;4
"261350 SAO JOSE DO BELMONTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;4;2;-;1;12;-;-;-;21
"261360 SAO JOSE DO EGITO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;1;-;-;-;6
"261370 SAO LOURENCO DA MATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;-;7;1;4;1;2;13;8;43
"261380 SAO VICENTE FERRER";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;2;42;-;-;-;11;17;-;75
"261390 SERRA TALHADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;27;5;11;81;4;6;5;153
"261400 SERRITA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;206;-;8;6;226
"261410 SERTANIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;37;11;5;19;8;14;2;98
"261420 SIRINHAEM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;8;2;38;1;-;9;5;67
"261430 MOREILANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;4;1;-;3;-;-;-;10
"261450 SURUBIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;2;1;1;1;-;1;-;10
"261460 TABIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;1;7;-;2;-;13
"261470 TACAIMBO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"261480 TACARATU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;8;-;11
"261485 TAMANDARE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;7;-;-;1;-;12
"261500 TAQUARITINGA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;3
"261510 TEREZINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1;-;7
"261520 TERRA NOVA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;6;7;3;31;1;3;-;53
"261530 TIMBAUBA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;2;7;46;3;63;188;24;312;25;720
"261540 TORITAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;3
"261560 TRINDADE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;3;1;-;1;19;-;-;2;31
"261570 TRIUNFO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;3
"261580 TUPANATINGA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;3;8;7;6;2;-;33
"261590 TUPARETAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2
"261600 VENTUROSA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;3
"261610 VERDEJANTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;3;-;26;4;10;2;52
"261618 VERTENTE DO LERIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;3
"261620 VERTENTES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;19;-;-;-;2;-;-;-;-;-;24
"261630 VICENCIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;22;2;1;-;1;-;1;32
"261640 VITORIA DE SANTO ANTAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;38;14;107;19;16;18;11;264
"261650 XEXEU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;1;-;-;-;-;5
"Total";6;1;2;3;1;1;1;1;1;2;1;1;1;1;1;1;1;47;1555;325;760;3888;2144;4407;5152;1192;3544;1105;24145
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídos todos os registros notificados.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Casos notificados no Sinan Net.
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de ARBOVIROSES
 urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Dados de 2016 atualizados em 08/05/2018.
 Dados de 2017 atualizados em 29/06/2018.
 Dados de 2018 atualizados em 19/09/2019.
 Dados de 2019 atualizados em 02/07/2020.
 Dados de 2020 atualizados em 27/01/2022.
 Dados de 2021 atualizados em 10/05/2023.
 Dados de 2022 atualizados em 13/07/2023.
 Dados de 2023 atualizados em 16/04/2024.
 Dados de 2024 atualizados em 23/07/2025 às 12:00 horas.
 Dados de 2025 atualizados em 17/09/2025 às 21:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em setembro de 2025.
 
